,id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
76,wootrade,77,WOO,WOO Network,1716103209.3639963,,379770212.9035021,2460573.180416927,0.2212980028422932,-8.109017661232027,0.2232884844389415,https://etherscan.io/token/0x4691937a7508860f876c9c0a2a617e7d9e945d4b
77,trust-wallet-token,78,TWT,Trust Wallet Token,416649900.0,1000000000.0,355996477.35187495,1882193.4791038625,0.8544259277438323,-1.9223725274229586,0.8663053979447205,https://explorer.binance.org/asset/TWT-8C2
78,nexo,79,NEXO,Nexo,560000011.0,1000000000.0,342432746.5655599,444046.94473678205,0.6114870354271474,-0.8879069066953831,0.6304171166631997,https://etherscan.io/token/0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206
79,thorchain,80,RUNE,THORChain,333904557.0,500000000.0,335125924.8992898,5576124.517216369,1.0036578353714705,-4.87398660095982,1.0166191391857775,https://explorer.binance.org/asset/RUNE-B1A
80,zilliqa,81,ZIL,Zilliqa,15867699446.7699,21000000000.0,324759395.22552407,11696316.848545548,0.0204666969093389,-6.800463527155162,0.0209238430629411,https://etherscan.io/token/0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27
81,convex-finance,82,CVX,Convex Finance,78644747.70408925,100000000.0,317485284.93170744,142245.61903753263,4.036954713444892,-3.7225691657626134,4.045351488065921,https://etherscan.io/token/0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b
82,pancakeswap,83,CAKE,PancakeSwap,212754179.13027564,750000000.0,312377829.69273657,6352324.500730149,1.4682570794600394,-4.4565437191476045,1.486192762870601,https://bscscan.com/token/0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82
83,loopring,84,LRC,Loopring,1331523612.2462103,1374513896.0,302986418.0458215,6375876.118087075,0.227548663245032,-5.355695538701019,0.230582184714405,https://etherscan.io/token/0xEF68e7C694F40c8202821eDF525dE3782458639f
84,qtum,85,QTUM,Qtum,104728391.5,107822406.0,301183130.34116244,16727362.68219132,2.875849862939625,-1.0589311176303704,2.796477807754539,https://qtum.info/
85,enjin-coin,86,ENJ,Enjin Coin,1000000000.0,1000000000.0,293920045.2247844,3785584.488501764,0.2939200452247844,-6.672530453057362,0.300178229083546,https://etherscan.io/token/0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c
86,gnosis-gno,87,GNO,Gnosis,2589588.0,3000000.0,293555434.7975793,560133.1182590132,113.35989925717114,-4.106703450819174,114.25987711736452,https://etherscan.io/token/Gnosis
87,1inch,88,1INCH,1inch Network,944395357.4992654,,288443073.7515359,5426618.0404253695,0.3054261877306616,-5.865372032821058,0.3084438932196039,https://etherscan.io/token/0x111111111117dc0aa78b770fa6a738034120c302
88,dydx,89,DYDX,dYdX,156256174.0,1000000000.0,286018304.9193758,15498142.217961984,1.8304448240194067,-5.220461581734523,1.8467724675317967,
89,singularitynet,90,AGIX,SingularityNET,1223948696.8849297,2000000000.0,285870048.0707403,2286307.1833890653,0.233563750505481,-4.567414147903319,0.2342013120374121,https://etherscan.io/token/0x8eb24319393716668d768dcec29356ae9cffe285
90,basic-attention-token,91,BAT,Basic Attention Token,1489309693.7326057,1500000000.0,280064251.9729762,6169693.225574159,0.1880497072916116,-7.507394954760048,0.1925096767231105,https://etherscan.io/token/Bat
91,mask-network,92,MASK,Mask Network,82112500.0,100000000.0,274658033.4314065,10998042.93886893,3.3448991740771077,-3.7473378222662723,3.35111651934158,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074
92,oasis-network,93,ROSE,Oasis Network,5725718533.0,10000000000.0,273631581.9870482,7665837.750810406,0.0477899115036796,-5.571186709305507,0.0485517493548594,https://www.oasisscan.com/
93,ravencoin,94,RVN,Ravencoin,12722138249.805597,21000000000.0,252525931.23746875,4190307.57585182,0.0198493308498143,-3.5912902783589713,0.0199647321692833,https://ravencoin.network/
94,celo,95,CELO,Celo,505091663.0,1000000000.0,252108526.175587,5016684.0496863555,0.4991342060135865,-5.627634370304471,0.5060304442394564,https://explorer.celo.org/blocks
95,nem,96,XEM,NEM,8999999999.0,8999999999.0,248870028.98891187,4887278.877206546,0.0276522254462849,-5.3584891731597315,0.0279633449770321,http://nembex.nem.ninja/
96,decred,97,DCR,Decred,15314150.13427157,21000000.0,244721517.94654498,446211.69411729946,15.9800913404187,-6.237785679196445,16.324219895775094,https://mainnet.decred.org/
97,bitcoin-gold,98,BTG,Bitcoin Gold,17513923.589,21000000.0,238487182.34411573,547001.7252135773,13.61700484372918,-8.60778479071808,14.181028923633919,https://explorer.bitcoingold.org/insight/
98,balancer,99,BAL,Balancer,50765111.11671286,96150704.0,234694969.63726178,969414.0094449356,4.6231548493547105,-5.640866625057392,4.703725144266375,https://etherscan.io/token/0xba100000625a3754423978a60c9317c58a424e3D
99,nxm,100,NXM,NXM,6594067.84129139,,234630686.40322763,736047.7226216237,35.58208560336517,-0.2154468962588232,28.062854223895854,https://etherscan.io/token/0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b
